id,city,district,area_m2,bedrooms,bathrooms,floors,building_type,year_built,price_million_vnd,price_per_m2_million_vnd
87,Ha Noi,Hoan Kiem,100.8,2,3,3,townhouse,2019,11864.42,117.7
88,Ho Chi Minh City,Binh Thanh,84.1,3,2,2,townhouse,2003,7308.67,86.9
89,Ha Noi,Ba Dinh,89.1,4,1,2,house,2012,9786.53,109.84
90,Ha Noi,Cau Giay,99.6,3,3,1,townhouse,2010,7225.44,72.54
91,Ha Noi,Dong Da,51.8,4,1,3,townhouse,2017,4286.52,82.75
92,Ho Chi Minh City,Quan 3,56.9,1,1,2,house,2020,5428.89,95.41
93,Ha Noi,Ba Dinh,94.1,4,2,2,apartment,2012,9840.17,104.57
94,Ho Chi Minh City,Quan 1,41.1,3,1,3,townhouse,2016,5027.45,122.32
95,Ha Noi,Dong Da,126.7,1,3,5,townhouse,2023,8949.86,70.64
96,Ha Noi,Ha Dong,104.2,3,2,2,apartment,2023,4719.49,45.29
97,Ho Chi Minh City,Tan Binh,112.5,3,2,3,townhouse,2017,6391.36,56.81
98,Ha Noi,Ha Dong,93.9,3,1,5,house,2016,4969.04,52.92
99,Ho Chi Minh City,Binh Thanh,69.3,4,1,1,apartment,2003,5365.39,77.42
100,Ha Noi,Cau Giay,107.9,2,3,4,townhouse,2014,8391.04,77.77
101,Ha Noi,Ba Dinh,97.7,2,1,5,house,2001,10445.4,106.91
102,Ho Chi Minh City,Quan 7,148.4,1,1,1,apartment,2005,8823.13,59.46
103,Ha Noi,Dong Da,132.1,2,2,1,townhouse,2007,8928.88,67.59
104,Ho Chi Minh City,Quan 9,149.7,2,2,4,townhouse,2005,9542.21,63.74
105,Ha Noi,Ba Dinh,88.9,2,3,1,house,2007,8901.02,100.12
106,Ha Noi,Cau Giay,130.6,1,2,2,house,2019,8677.02,66.44
107,Ho Chi Minh City,Quan 9,59.1,3,1,2,house,2004,3226.29,54.59
108,Ha Noi,Cau Giay,141.8,1,3,3,apartment,2023,8363.16,58.98
109,Ha Noi,Thanh Xuan,37.6,4,2,5,house,2004,1897.54,50.47
110,Ho Chi Minh City,Quan 1,44.0,3,2,3,house,2004,4621.44,105.03
111,Ha Noi,Dong Da,145.8,2,1,3,apartment,2002,8797.81,60.34
112,Ho Chi Minh City,Quan 1,118.9,2,1,3,apartment,2002,12810.32,107.74
113,Ho Chi Minh City,Thu Duc,127.7,3,2,2,house,2012,9431.18,73.85
114,Ha Noi,Ba Dinh,112.0,4,3,3,apartment,2022,11239.07,100.35
115,Ho Chi Minh City,Tan Binh,99.3,1,1,2,house,2007,4625.35,46.58
116,Ho Chi Minh City,Tan Binh,44.0,2,3,3,house,2014,2204.58,50.1
117,Ho Chi Minh City,Thu Duc,89.5,2,3,3,apartment,2000,5695.32,63.63
118,Ho Chi Minh City,Thu Duc,123.4,1,2,4,house,2004,8750.45,70.91
119,Ho Chi Minh City,Quan 3,71.0,2,1,4,apartment,2023,6741.88,94.96
120,Ho Chi Minh City,Thu Duc,94.8,1,3,4,apartment,2018,6393.58,67.44
121,Ho Chi Minh City,Quan 9,95.1,3,3,5,townhouse,2007,6510.24,68.46
122,Ha Noi,Ha Dong,78.1,3,2,3,house,2017,4151.1,53.15
123,Ho Chi Minh City,Quan 1,32.2,4,3,4,apartment,2007,3980.98,123.63
124,Ho Chi Minh City,Quan 3,122.5,3,2,1,house,2013,12784.46,104.36
125,Ha Noi,Ba Dinh,141.1,3,1,5,apartment,2003,13070.64,92.63
126,Ha Noi,Ba Dinh,69.9,2,3,3,townhouse,2008,7458.35,106.7
127,Ho Chi Minh City,Quan 1,54.7,1,1,2,apartment,2019,4891.52,89.42
128,Ho Chi Minh City,Quan 3,140.4,2,3,2,townhouse,2016,17471.8,124.44
129,Ha Noi,Cau Giay,33.9,3,3,1,townhouse,2020,2479.17,73.13
130,Ha Noi,Ba Dinh,73.5,3,3,2,house,2006,7931.97,107.92
131,Ho Chi Minh City,Quan 9,85.1,4,2,4,townhouse,2016,6174.75,72.56
132,Ho Chi Minh City,Quan 1,67.2,2,3,3,townhouse,2016,8462.01,125.92
133,Ho Chi Minh City,Thu Duc,86.6,4,3,2,apartment,2014,6944.28,80.19
134,Ha Noi,Hoan Kiem,94.1,1,2,3,townhouse,2007,8909.7,94.68
135,Ho Chi Minh City,Tan Binh,143.5,4,2,2,townhouse,2000,9743.76,67.9
136,Ho Chi Minh City,Tan Binh,48.7,2,3,5,apartment,2002,2524.15,51.83
137,Ha Noi,Cau Giay,90.7,4,2,1,townhouse,2018,7586.68,83.65
138,Ho Chi Minh City,Quan 9,58.6,2,3,3,apartment,2013,2790.39,47.62
139,Ho Chi Minh City,Tan Binh,137.6,3,2,1,townhouse,2015,9228.22,67.07
140,Ho Chi Minh City,Quan 7,100.0,4,2,2,apartment,2019,8082.51,80.83
141,Ho Chi Minh City,Quan 3,129.0,3,3,4,apartment,2008,13538.15,104.95
142,Ha Noi,Thanh Xuan,65.3,4,2,4,apartment,2023,3663.36,56.1
143,Ho Chi Minh City,Binh Thanh,86.5,4,1,2,townhouse,2008,7630.97,88.22
144,Ha Noi,Hoan Kiem,106.0,3,1,3,house,2012,12150.14,114.62
145,Ha Noi,Thanh Xuan,32.2,2,1,2,apartment,2016,1445.78,44.9
146,Ho Chi Minh City,Quan 1,89.7,4,3,5,house,2024,9989.03,111.36
147,Ho Chi Minh City,Binh Thanh,117.9,2,1,1,apartment,2012,7540.78,63.96
148,Ho Chi Minh City,Quan 3,78.5,2,2,2,house,2018,8881.61,113.14
149,Ho Chi Minh City,Quan 9,122.5,1,1,3,townhouse,2016,6673.88,54.48
150,Ho Chi Minh City,Tan Binh,103.2,2,2,5,apartment,2014,5050.53,48.94
